,Cargo_Type,Ambient_External_Temp_C,Internal_Set_Point_C,Actual_Internal_Temp_C,HVAC_Power_Consumption_Watts,Seal_Integrity_Index,Temperature_Deviation_C,Cooling_Load_C,HVAC_Efficiency,Seal_Loss_Score,HVAC_Stress_Index
Cargo_Type,1.0,-0.0003930452772116784,-0.9055184324196744,-0.8888230021205733,0.6668737484129355,0.006154580455958409,0.08055909616360446,0.6375874808356145,-0.004706301432076724,-0.00615458045595846,0.4380020562755827
Ambient_External_Temp_C,-0.0003930452772116784,1.0,-0.007645883007647581,0.060569814140625004,0.5629274957313649,-0.2711764417690969,0.3291556316898957,0.709804861566762,0.011073289849042562,0.2711764417690968,0.4559771831964656
Internal_Set_Point_C,-0.9055184324196744,-0.007645883007647581,1.0,0.9785248568239366,-0.7415560785727767,0.007663885100076124,-0.10362225430877545,-0.7098048615667683,0.005448561133295171,-0.007663885100076109,-0.48825808634955065
Actual_Internal_Temp_C,-0.8888230021205733,0.060569814140625004,0.9785248568239366,1.0,-0.7089968385579418,-0.15041542944555383,0.10362225430877815,-0.6466249334057107,0.007009354642068609,0.15041542944555375,-0.4082492279131351
HVAC_Power_Consumption_Watts,0.6668737484129355,0.5629274957313649,-0.7415560785727767,-0.7089968385579418,1.0,-0.06670800843766668,0.15710544145194222,0.918902958360091,4.636468789566549e-18,0.06670800843766657,0.7254751436311633
Seal_Integrity_Index,0.006154580455958409,-0.2711764417690969,0.007663885100076124,-0.15041542944555383,-0.06670800843766668,1.0,-0.7627672047868215,-0.19642041212121558,-0.008671308040596416,-1.0,-0.268065423105463
Temperature_Deviation_C,0.08055909616360446,0.3291556316898957,-0.10362225430877545,0.10362225430877815,0.15710544145194222,-0.7627672047868215,1.0,0.30485694691030485,0.007531169434523803,0.7627672047868216,0.38606020960522
Cooling_Load_C,0.6375874808356145,0.709804861566762,-0.7098048615667683,-0.6466249334057107,0.918902958360091,-0.19642041212121558,0.30485694691030485,1.0,0.003962165533307137,0.19642041212121553,0.6651372233924866
HVAC_Efficiency,-0.004706301432076724,0.011073289849042562,0.005448561133295171,0.007009354642068609,4.636468789566549e-18,-0.008671308040596416,0.007531169434523803,0.003962165533307137,1.0,0.008671308040596423,0.002849771703002967
Seal_Loss_Score,-0.00615458045595846,0.2711764417690968,-0.007663885100076109,0.15041542944555375,0.06670800843766657,-1.0,0.7627672047868216,0.19642041212121553,0.008671308040596423,1.0,0.26806542310546255
HVAC_Stress_Index,0.4380020562755827,0.4559771831964656,-0.48825808634955065,-0.4082492279131351,0.7254751436311633,-0.268065423105463,0.38606020960522,0.6651372233924866,0.002849771703002967,0.26806542310546255,1.0
